SOC Code,IWA
19-1041,4.A.1.a.1.I16
19-1041,4.A.4.b.6.I06
19-1041,4.A.3.b.6.I07
19-1042,4.A.4.b.4.I06
19-1042,4.A.2.a.4.I10
19-1042,4.A.3.a.3.I09
19-1042,4.A.3.b.6.I07
19-1042,4.A.3.b.6.I03
19-1042,4.A.2.b.4.I03
19-1042,4.A.4.b.3.I02
19-1042,4.A.1.a.1.I16
19-1042,4.A.4.b.6.I06
19-1042,4.A.2.b.2.I23
19-1042,4.A.1.a.2.I02
19-2011,4.A.2.a.4.I07
19-2011,4.A.4.b.4.I01
19-2011,4.A.4.b.4.I06
19-2011,4.A.4.b.4.I02
19-2011,4.A.4.b.6.I07
19-2011,4.A.3.b.6.I07
19-2011,4.A.3.b.6.I03
19-2011,4.A.1.b.3.I01
19-2011,4.A.4.a.2.I02
19-2011,4.A.4.b.3.I02
19-2011,4.A.1.a.2.I09
19-2011,4.A.2.b.2.I26
19-2011,4.A.4.b.5.I02
19-2011,4.A.2.b.2.I02
19-2011,4.A.2.b.3.I01
19-2011,4.A.4.a.3.I02
19-2012,4.A.2.a.4.I04
19-2012,4.A.3.a.3.I09
19-2012,4.A.2.a.4.I01
19-2012,4.A.3.b.6.I03
19-2012,4.A.4.a.2.I02
19-2012,4.A.4.b.3.I02
19-2012,4.A.2.b.2.I26
19-2012,4.A.3.b.6.I07
19-2021,4.A.1.a.1.I10
19-2021,4.A.2.a.4.I05
19-2021,4.A.3.b.6.I12
19-2021,4.A.4.a.2.I02
19-2021,4.A.4.b.3.I02
19-2021,4.A.1.a.2.I09
19-2021,4.A.2.b.2.I23
19-2021,4.A.2.a.4.I07
19-2021,4.A.4.b.4.I06
19-2021,4.A.3.b.6.I03
19-2021,4.A.1.a.1.I08
19-2021,4.A.2.b.2.I26
19-2021,4.A.4.a.3.I02
19-2021,4.A.2.b.2.I16
19-2021,4.A.3.a.2.I38
19-2021,4.A.3.b.1.I01
19-2021,4.A.2.b.2.I18
19-2021,4.A.4.a.2.I01
19-2021,4.A.1.b.2.I08
19-2031,4.A.4.b.4.I01
19-2031,4.A.1.b.2.I03
19-2031,4.A.4.b.4.I06
19-2031,4.A.2.a.4.I10
19-2031,4.A.3.a.2.I47
19-2031,4.A.3.b.6.I03
19-2031,4.A.2.b.4.I03
19-2031,4.A.4.a.2.I02
19-2031,4.A.3.b.4.I04
19-2031,4.A.1.a.2.I02
19-2032,4.A.1.a.1.I12
19-2032,4.A.1.b.2.I03
19-2032,4.A.3.b.6.I03
19-2032,4.A.2.b.4.I03
19-2032,4.A.3.b.6.I16
19-2032,4.A.4.b.6.I04
19-2032,4.A.4.a.2.I13
19-2032,4.A.2.b.2.I26
19-2032,4.A.1.a.1.I20
19-2032,4.A.4.b.3.I02
19-2032,4.A.2.b.2.I23
19-2032,4.A.1.a.2.I02
19-2041,4.A.1.a.1.I10
19-2041,4.A.2.b.2.I08
19-2041,4.A.4.a.2.I11
19-2041,4.A.1.a.2.I09
19-2041,4.A.1.b.1.I02
19-2041,4.A.2.b.2.I23
19-2041,4.A.2.a.3.I01
19-2041,4.A.2.a.3.I02
19-2041,4.A.2.a.4.I07
19-2041,4.A.2.b.2.I06
19-2041,4.A.4.b.4.I06
19-2041,4.A.3.b.6.I14
19-2041,4.A.2.a.4.I01
19-2041,4.A.3.b.6.I03
19-2041,4.A.1.a.1.I08
19-2041,4.A.2.b.2.I26
19-2041,4.A.1.a.1.I16
19-2041,4.A.2.a.1.I02
19-2041,4.A.4.a.6.I03
19-2041,4.A.4.a.3.I02
19-2041,4.A.2.b.2.I16
19-2041,4.A.4.b.4.I01
19-2041,4.A.3.a.2.I38
19-2041,4.A.4.b.6.I08
19-2041,4.A.2.a.4.I09
19-2041,4.A.2.b.2.I15
19-2041,4.A.2.b.3.I01
19-2041,4.A.2.b.2.I20
19-2041,4.A.2.b.2.I18
19-2041,4.A.4.b.3.I04
19-2041,4.A.1.a.1.I18
19-2041,4.A.3.b.6.I13
19-2041,4.A.4.b.6.I03
19-2041,4.A.2.a.2.I03
19-2041,4.A.4.a.2.I01
19-2041,4.A.3.b.6.I07
19-2042,4.A.2.b.1.I04
19-2042,4.A.4.b.6.I09
19-2042,4.A.1.a.1.I10
19-2042,4.A.2.b.2.I08
19-2042,4.A.4.b.3.I02
19-2042,4.A.1.a.2.I09
19-2042,4.A.2.b.2.I23
19-2042,4.A.2.a.3.I01
19-2042,4.A.2.a.4.I07
19-2042,4.A.4.b.4.I06
19-2042,4.A.2.a.4.I01
19-2042,4.A.3.b.6.I03
19-2042,4.A.1.a.1.I08
19-2042,4.A.1.a.2.I02
19-2042,4.A.2.b.2.I02
19-2042,4.A.1.b.2.I05
19-2042,4.A.2.b.3.I01
19-2042,4.A.2.b.2.I20
19-2042,4.A.2.b.2.I18
19-2042,4.A.4.b.6.I03
19-2042,4.A.1.a.1.I20
19-2042,4.A.4.a.2.I01
19-2043,4.A.1.a.1.I10
19-2043,4.A.3.a.2.I09
19-2043,4.A.1.a.2.I09
19-2043,4.A.2.b.2.I23
19-2043,4.A.2.a.3.I01
19-2043,4.A.2.a.3.I02
19-2043,4.A.2.a.4.I01
19-2043,4.A.3.b.6.I03
19-2043,4.A.1.a.1.I08
19-2043,4.A.2.b.2.I26
19-2043,4.A.2.a.1.I02
19-2043,4.A.4.a.3.I02
19-2043,4.A.2.b.2.I16
19-2043,4.A.4.b.4.I01
19-2043,4.A.3.a.2.I38
19-2043,4.A.3.b.6.I08
19-2043,4.A.4.b.4.I10
19-2043,4.A.3.b.4.I04
19-2043,4.A.4.a.2.I01
19-2043,4.A.2.a.2.I03
19-2099,4.A.2.b.2.I18
19-2099,4.A.4.b.3.I04
19-2099,4.A.4.b.4.I06
19-2099,4.A.3.a.2.I38
19-2099,4.A.2.a.4.I01
19-2099,4.A.3.a.2.I46
19-2099,4.A.3.b.6.I03
19-2099,4.A.4.b.6.I04
19-2099,4.A.3.b.6.I08
19-2099,4.A.2.a.2.I03
19-2099,4.A.2.b.2.I06
19-2099,4.A.2.b.2.I02
19-2099,4.A.2.b.3.I01
19-2099,4.A.2.b.2.I23
19-2099,4.A.2.a.1.I07
19-2099,4.A.2.b.2.I16
19-3011,4.A.1.a.1.I02
19-3011,4.A.1.a.1.I10
19-3011,4.A.2.a.4.I02
19-3011,4.A.2.b.4.I03
19-3011,4.A.3.b.6.I07
19-3011,4.A.2.b.2.I08
19-3011,4.A.4.b.3.I02
19-3011,4.A.4.b.6.I05
19-3011,4.A.1.b.1.I02
19-3011,4.A.2.b.2.I23
19-3011,4.A.2.a.3.I01
19-3011,4.A.2.a.4.I07
19-3011,4.A.3.b.6.I14
19-3011,4.A.3.b.6.I03
19-3011,4.A.2.b.2.I26
19-3011,4.A.4.a.6.I03
19-3011,4.A.4.a.3.I02
19-3011,4.A.4.a.1.I02
19-3011,4.A.4.b.4.I01
19-3011,4.A.3.a.2.I38
19-3011,4.A.4.b.6.I08
19-3011,4.A.2.a.4.I09
19-3011,4.A.2.b.3.I01
19-3011,4.A.1.a.1.I18
19-3011,4.A.4.b.6.I03
19-3011,4.A.1.a.2.I08
19-3011,4.A.4.a.2.I01
19-3011,4.A.4.a.3.I01
19-3022,4.A.1.a.1.I12
19-3022,4.A.2.b.2.I23
19-3022,4.A.4.b.4.I01
19-3022,4.A.4.b.3.I04
19-3022,4.A.3.b.6.I15
19-3022,4.A.4.b.4.I06
19-3022,4.A.1.a.1.I18
19-3022,4.A.3.b.6.I07
19-3022,4.A.3.b.6.I03
19-3022,4.A.4.a.2.I02
19-3022,4.A.4.a.2.I13
19-3022,4.A.3.b.6.I08
19-3022,4.A.1.a.1.I16
19-3032,4.A.2.b.2.I23
19-3032,4.A.1.a.1.I12
19-3032,4.A.4.b.3.I04
19-3032,4.A.4.a.7.I01
19-3032,4.A.4.c.2.I02
19-3032,4.A.3.b.6.I03
19-3032,4.A.4.a.2.I13
19-3032,4.A.4.b.6.I05
19-3032,4.A.2.b.2.I15
19-3032,4.A.2.b.3.I01
19-3032,4.A.4.a.3.I01
19-3032,4.A.4.b.6.I10
19-3032,4.A.1.a.1.I09
19-3033,4.A.1.a.1.I12
19-3033,4.A.2.b.1.I06
19-3033,4.A.2.b.2.I01
19-3033,4.A.2.b.2.I23
19-3033,4.A.4.b.4.I06
19-3033,4.A.4.a.2.I05
19-3033,4.A.3.b.6.I03
19-3033,4.A.2.a.1.I02
19-3033,4.A.4.b.4.I01
19-3033,4.A.3.b.6.I08
19-3033,4.A.4.b.6.I06
19-3033,4.A.2.b.2.I15
19-3033,4.A.1.a.1.I04
19-3033,4.A.2.b.3.I01
19-3033,4.A.4.b.3.I04
19-3033,4.A.4.b.6.I07
19-3033,4.A.4.c.2.I02
19-3033,4.A.4.b.6.I10
19-3033,4.A.2.a.1.I06
19-3034,4.A.2.a.4.I07
19-3034,4.A.1.a.1.I12
19-3034,4.A.4.b.4.I06
19-3034,4.A.4.b.6.I07
19-3034,4.A.4.c.2.I02
19-3034,4.A.3.b.6.I03
19-3034,4.A.2.b.2.I15
19-3034,4.A.4.b.6.I06
19-3034,4.A.2.b.3.I01
19-3034,4.A.4.b.6.I10
19-3034,4.A.1.a.1.I09
19-3039,4.A.1.a.1.I12
19-3039,4.A.4.b.4.I06
19-3039,4.A.4.a.2.I05
19-3039,4.A.2.a.1.I06
19-3039,4.A.4.c.2.I02
19-3039,4.A.2.b.4.I03
19-3039,4.A.3.b.6.I03
19-3039,4.A.4.b.3.I02
19-3039,4.A.1.a.1.I19
19-3039,4.A.2.b.1.I06
19-3039,4.A.2.b.2.I15
19-3039,4.A.1.a.2.I05
19-3039,4.A.2.b.3.I01
19-3039,4.A.4.b.6.I10
19-3039,4.A.4.a.1.I05
19-3041,4.A.2.a.4.I07
19-3041,4.A.2.b.2.I23
19-3041,4.A.1.a.1.I12
19-3041,4.A.4.b.4.I01
19-3041,4.A.4.b.4.I06
19-3041,4.A.1.a.1.I18
19-3041,4.A.4.b.6.I08
19-3041,4.A.3.b.6.I03
19-3041,4.A.4.b.3.I02
19-3041,4.A.2.b.2.I15
19-3041,4.A.3.b.6.I07
19-3041,4.A.4.a.3.I02
19-3051,4.A.1.a.1.I12
19-3051,4.A.1.a.1.I10
19-3051,4.A.4.a.7.I01
19-3051,4.A.2.b.2.I08
19-3051,4.A.4.b.6.I05
19-3051,4.A.4.a.2.I11
19-3051,4.A.2.a.3.I01
19-3051,4.A.2.a.4.I01
19-3051,4.A.3.b.6.I03
19-3051,4.A.4.a.6.I03
19-3051,4.A.4.a.3.I02
19-3051,4.A.4.a.1.I02
19-3051,4.A.4.b.4.I01
19-3051,4.A.2.a.4.I09
19-3051,4.A.3.b.6.I08
19-3051,4.A.1.a.1.I04
19-3051,4.A.2.b.3.I01
19-3051,4.A.4.a.2.I04
19-3051,4.A.2.b.2.I18
19-3051,4.A.2.b.2.I11
19-3051,4.A.4.a.2.I01
19-3051,4.A.2.a.2.I03
19-3091,4.A.1.a.1.I12
19-3091,4.A.4.b.3.I02
19-3091,4.A.1.a.2.I09
19-3091,4.A.4.a.2.I11
19-3091,4.A.2.b.2.I23
19-3091,4.A.3.a.1.I08
19-3091,4.A.4.b.4.I06
19-3091,4.A.3.b.6.I05
19-3091,4.A.2.b.6.I01
19-3091,4.A.2.a.4.I10
19-3091,4.A.3.b.6.I03
19-3091,4.A.2.b.2.I26
19-3091,4.A.1.a.1.I09
19-3091,4.A.2.b.2.I16
19-3091,4.A.3.a.2.I38
19-3091,4.A.4.b.6.I08
19-3091,4.A.1.b.1.I01
19-3091,4.A.3.b.6.I08
19-3091,4.A.2.b.2.I15
19-3091,4.A.1.a.1.I04
19-3091,4.A.4.a.2.I04
19-3091,4.A.4.b.3.I04
19-3091,4.A.1.a.1.I18
19-3091,4.A.4.b.6.I07
19-3091,4.A.4.b.6.I03
19-3091,4.A.3.a.2.I42
19-3091,4.A.1.b.2.I10
19-3091,4.A.3.b.6.I07
19-3092,4.A.2.b.2.I18
19-3092,4.A.3.a.2.I38
19-3092,4.A.1.a.1.I18
19-3092,4.A.3.b.6.I03
19-3092,4.A.4.b.3.I02
19-3092,4.A.4.b.6.I05
19-3092,4.A.2.b.2.I02
19-3092,4.A.2.a.2.I03
19-3092,4.A.1.a.1.I04
19-3093,4.A.1.a.1.I12
19-3093,4.A.1.a.1.I18
19-3093,4.A.3.b.6.I03
19-3093,4.A.4.b.3.I02
19-3093,4.A.3.a.2.I08
19-3093,4.A.1.a.1.I04
19-3094,4.A.2.a.4.I07
19-3094,4.A.4.b.4.I02
19-3094,4.A.1.a.1.I18
19-3094,4.A.4.b.6.I07
19-3094,4.A.4.b.6.I08
19-3094,4.A.3.b.6.I14
19-3094,4.A.2.a.4.I02
19-3094,4.A.3.b.6.I03
19-3094,4.A.4.b.3.I02
19-3094,4.A.2.b.2.I26
19-3094,4.A.2.a.1.I02
19-3094,4.A.2.b.3.I01
19-3099,4.A.2.a.4.I07
19-3099,4.A.4.b.4.I06
19-3099,4.A.2.a.4.I05
19-3099,4.A.4.b.6.I08
19-3099,4.A.3.b.6.I14
19-3099,4.A.3.b.6.I03
19-3099,4.A.2.a.4.I09
19-3099,4.A.2.b.2.I11
19-3099,4.A.2.b.2.I26
19-3099,4.A.3.b.6.I13
19-3099,4.A.2.a.1.I02
19-3099,4.A.4.a.2.I01
19-3099,4.A.4.a.2.I04
19-3099,4.A.2.b.2.I23
19-4012,4.A.3.a.3.I09
19-4012,4.A.3.a.2.I47
19-4012,4.A.3.a.2.I09
19-4012,4.A.2.b.4.I03
19-4012,4.A.3.a.1.I17
19-4012,4.A.2.a.4.I01
19-4012,4.A.3.b.6.I03
19-4012,4.A.4.a.5.I04
19-4012,4.A.1.a.1.I08
19-4012,4.A.4.b.6.I04
19-4012,4.A.4.a.3.I02
19-4012,4.A.3.a.3.I11
19-4012,4.A.2.b.2.I16
19-4012,4.A.4.b.4.I01
19-4012,4.A.3.a.2.I38
19-4012,4.A.1.b.2.I03
19-4012,4.A.1.b.3.I01
19-4012,4.A.3.b.6.I08
19-4012,4.A.1.a.1.I13
19-4012,4.A.2.b.2.I20
19-4012,4.A.2.b.2.I18
19-4012,4.A.4.b.3.I04
19-4012,4.A.3.b.6.I15
19-4012,4.A.3.a.2.I46
19-4012,4.A.3.b.4.I04
19-4012,4.A.4.b.4.I04
19-4012,4.A.1.a.1.I16
19-4013,4.A.4.b.3.I04
19-4013,4.A.4.b.4.I01
19-4013,4.A.1.b.2.I03
19-4013,4.A.4.b.4.I06
19-4013,4.A.2.a.4.I10
19-4013,4.A.3.a.2.I47
19-4013,4.A.1.b.3.I01
19-4013,4.A.2.a.1.I05
19-4013,4.A.3.b.6.I08
19-4013,4.A.3.b.4.I04
19-4013,4.A.1.a.1.I20
19-4013,4.A.1.a.1.I16
19-4013,4.A.3.a.1.I08
19-4021,4.A.2.a.4.I07
19-4021,4.A.3.a.2.I38
19-4021,4.A.2.a.4.I10
19-4021,4.A.3.a.2.I47
19-4021,4.A.3.a.2.I46
19-4021,4.A.4.a.5.I04
19-4021,4.A.3.b.6.I08
19-4021,4.A.4.c.3.I05
19-4021,4.A.1.a.1.I16
19-4021,4.A.3.a.1.I08
19-4021,4.A.1.a.2.I02
19-4031,4.A.2.a.4.I07
19-4031,4.A.4.b.4.I01
19-4031,4.A.4.b.3.I04
19-4031,4.A.4.b.4.I06
19-4031,4.A.4.b.4.I02
19-4031,4.A.2.a.4.I10
19-4031,4.A.3.a.3.I09
19-4031,4.A.3.a.2.I46
19-4031,4.A.3.a.2.I47
19-4031,4.A.3.b.6.I03
19-4031,4.A.2.a.1.I05
19-4031,4.A.2.b.4.I03
19-4031,4.A.3.b.4.I04
19-4031,4.A.3.a.1.I08
19-4042,4.A.2.b.1.I04
19-4042,4.A.1.a.1.I10
19-4042,4.A.3.a.2.I47
19-4042,4.A.3.a.2.I09
19-4042,4.A.2.b.2.I08
19-4042,4.A.4.b.6.I05
19-4042,4.A.2.b.2.I23
19-4042,4.A.2.a.3.I02
19-4042,4.A.4.b.4.I06
19-4042,4.A.2.a.4.I10
19-4042,4.A.2.a.4.I01
19-4042,4.A.3.b.6.I03
19-4042,4.A.4.a.2.I13
19-4042,4.A.1.b.2.I07
19-4042,4.A.4.b.4.I01
19-4042,4.A.3.a.2.I38
19-4042,4.A.4.b.6.I08
19-4042,4.A.3.b.6.I08
19-4042,4.A.1.b.2.I05
19-4042,4.A.3.a.2.I46
19-4042,4.A.3.b.6.I13
19-4043,4.A.1.a.1.I12
19-4043,4.A.1.a.1.I10
19-4043,4.A.3.a.3.I09
19-4043,4.A.3.a.2.I09
19-4043,4.A.4.a.2.I02
19-4043,4.A.4.b.4.I06
19-4043,4.A.3.b.6.I05
19-4043,4.A.2.a.4.I01
19-4043,4.A.1.a.1.I08
19-4043,4.A.1.b.2.I07
19-4043,4.A.4.b.4.I01
19-4043,4.A.3.a.2.I38
19-4043,4.A.1.b.3.I04
19-4043,4.A.3.b.6.I08
19-4043,4.A.4.b.4.I10
19-4043,4.A.1.a.1.I04
19-4043,4.A.2.b.2.I18
19-4043,4.A.3.a.2.I02
19-4043,4.A.3.a.2.I46
19-4043,4.A.3.b.4.I04
19-4043,4.A.2.a.2.I03
19-4044,4.A.2.b.2.I18
19-4044,4.A.4.b.6.I09
19-4044,4.A.2.a.2.I01
19-4044,4.A.3.a.2.I38
19-4044,4.A.2.a.4.I05
19-4044,4.A.3.a.2.I04
19-4044,4.A.2.a.4.I01
19-4044,4.A.3.a.1.I03
19-4044,4.A.3.b.6.I03
19-4044,4.A.1.a.1.I08
19-4044,4.A.1.b.3.I01
19-4044,4.A.4.b.6.I03
19-4044,4.A.2.b.2.I26
19-4044,4.A.2.a.2.I03
19-4044,4.A.4.a.2.I01
19-4044,4.A.3.a.1.I07
19-4044,4.A.1.a.1.I04
19-4044,4.A.2.b.2.I16
19-4051,4.A.4.b.6.I09
19-4051,4.A.4.a.2.I03
19-4051,4.A.3.a.2.I09
19-4051,4.A.1.b.1.I02
19-4051,4.A.3.a.1.I08
19-4051,4.A.2.a.4.I01
19-4051,4.A.3.b.4.I02
19-4051,4.A.1.a.2.I02
19-4051,4.A.1.b.2.I07
19-4051,4.A.3.a.2.I38
19-4051,4.A.1.b.3.I01
19-4051,4.A.3.b.6.I08
19-4051,4.A.1.a.2.I11
19-4051,4.A.1.b.2.I05
19-4051,4.A.4.b.3.I04
19-4051,4.A.3.b.6.I15
19-4051,4.A.3.a.2.I46
19-4051,4.A.3.b.4.I04
19-4051,4.A.1.b.2.I12
19-4061,4.A.1.a.1.I12
19-4061,4.A.4.b.4.I01
19-4061,4.A.4.b.4.I06
19-4061,4.A.1.a.1.I18
19-4061,4.A.3.b.6.I14
19-4061,4.A.3.b.6.I03
19-4061,4.A.4.c.2.I02
19-4061,4.A.4.a.2.I13
19-4061,4.A.3.b.6.I08
19-4061,4.A.2.b.2.I02
19-4061,4.A.2.b.2.I06
19-4061,4.A.1.a.1.I04
19-4061,4.A.2.b.2.I23
19-4071,4.A.2.b.2.I18
19-4071,4.A.4.b.3.I04
19-4071,4.A.4.b.4.I01
19-4071,4.A.4.b.6.I09
19-4071,4.A.3.a.2.I38
19-4071,4.A.1.b.3.I04
19-4071,4.A.3.b.6.I13
19-4071,4.A.3.b.6.I08
19-4071,4.A.4.b.6.I03
19-4071,4.A.1.a.2.I09
19-4071,4.A.2.b.2.I06
19-4071,4.A.4.b.4.I04
19-4071,4.A.3.a.1.I17
19-4092,4.A.2.a.4.I07
19-4092,4.A.4.b.3.I04
19-4092,4.A.3.b.6.I05
19-4092,4.A.2.a.4.I10
19-4092,4.A.3.a.3.I09
19-4092,4.A.3.a.2.I47
19-4092,4.A.3.b.6.I03
19-4092,4.A.1.a.1.I03
19-4092,4.A.1.b.3.I01
19-4092,4.A.4.a.2.I02
19-4092,4.A.3.b.4.I04
19-4092,4.A.3.b.6.I08
19-4092,4.A.4.a.3.I01
19-4099,4.A.2.b.1.I04
19-4099,4.A.2.a.4.I04
19-4099,4.A.2.b.4.I03
19-4099,4.A.3.a.2.I09
19-4099,4.A.4.b.6.I05
19-4099,4.A.4.a.2.I11
19-4099,4.A.2.a.1.I07
19-4099,4.A.2.a.4.I07
19-4099,4.A.2.a.2.I01
19-4099,4.A.2.a.4.I12
19-4099,4.A.3.b.6.I14
19-4099,4.A.2.a.4.I01
19-4099,4.A.3.b.6.I03
19-4099,4.A.2.a.1.I05
19-4099,4.A.4.b.6.I04
19-4099,4.A.1.a.2.I02
19-4099,4.A.1.b.2.I03
19-4099,4.A.3.a.2.I38
19-4099,4.A.3.b.6.I08
19-4099,4.A.2.b.2.I02
19-4099,4.A.1.b.2.I05
19-4099,4.A.4.a.4.I01
19-4099,4.A.4.a.2.I04
19-4099,4.A.2.b.2.I18
19-4099,4.A.4.b.3.I04
19-4099,4.A.3.b.6.I15
19-4099,4.A.3.b.4.I04
19-4099,4.A.4.a.2.I01
19-4099,4.A.2.b.2.I06
19-4099,4.A.2.a.3.I03
19-5011,4.A.2.a.4.I07
19-5011,4.A.2.b.2.I19
19-5011,4.A.2.a.4.I04
19-5011,4.A.3.b.6.I15
19-5011,4.A.4.c.3.I01
19-5011,4.A.4.a.2.I05
19-5011,4.A.4.b.3.I06
19-5011,4.A.2.a.4.I10
19-5011,4.A.3.b.6.I12
19-5011,4.A.3.b.6.I03
19-5011,4.A.1.a.1.I22
19-5011,4.A.4.b.6.I06
19-5011,4.A.2.b.2.I17
19-5011,4.A.1.b.2.I05
19-5011,4.A.1.b.2.I11
19-5011,4.A.4.a.2.I09
19-5011,4.A.1.a.2.I02
19-5012,4.A.3.a.2.I11
19-5012,4.A.2.b.2.I19
19-5012,4.A.4.c.3.I01
19-5012,4.A.4.b.3.I06
19-5012,4.A.3.b.4.I09
19-5012,4.A.2.a.3.I04
19-5012,4.A.3.b.6.I11
19-5012,4.A.1.a.1.I19
19-5012,4.A.4.b.6.I06
19-5012,4.A.1.a.2.I11
19-5012,4.A.2.b.2.I17
19-5012,4.A.1.b.2.I05
19-5012,4.A.4.a.3.I02
19-5012,4.A.1.b.2.I11
19-5012,4.A.3.b.6.I06
21-1012,4.A.4.a.5.I09
21-1012,4.A.2.a.1.I01
21-1012,4.A.4.b.3.I02
21-1012,4.A.4.a.2.I05
21-1012,4.A.1.a.1.I23
21-1012,4.A.3.b.6.I14
21-1012,4.A.3.b.6.I03
21-1012,4.A.4.b.3.I01
21-1012,4.A.4.a.6.I03
21-1012,4.A.4.a.5.I01
21-1012,4.A.4.a.3.I02
21-1012,4.A.4.a.2.I07
21-1012,4.A.4.b.4.I01
21-1012,4.A.2.b.2.I15
21-1012,4.A.2.b.2.I17
21-1012,4.A.4.a.4.I01
21-1012,4.A.2.b.3.I01
21-1012,4.A.4.b.3.I04
21-1012,4.A.4.b.6.I07
21-1012,4.A.4.b.6.I10
21-1012,4.A.4.a.1.I05
21-1013,4.A.1.a.1.I12
21-1013,4.A.4.b.4.I01
21-1013,4.A.4.a.2.I05
21-1013,4.A.1.a.1.I23
21-1013,4.A.4.b.6.I07
21-1013,4.A.2.a.1.I01
21-1013,4.A.3.b.6.I03
21-1013,4.A.4.b.3.I02
21-1013,4.A.3.b.6.I11
21-1013,4.A.1.a.2.I05
21-1013,4.A.4.b.3.I01
21-1013,4.A.2.a.1.I02
21-1013,4.A.4.a.5.I01
21-1013,4.A.2.b.2.I01
21-1013,4.A.4.a.3.I02
21-1013,4.A.4.b.6.I10
21-1013,4.A.4.a.1.I05
21-1015,4.A.2.b.2.I10
21-1015,4.A.4.a.5.I09
21-1015,4.A.4.b.4.I01
21-1015,4.A.4.a.2.I05
21-1015,4.A.4.b.6.I07
21-1015,4.A.2.a.1.I01
21-1015,4.A.4.b.4.I09
21-1015,4.A.3.b.6.I11
21-1015,4.A.4.a.4.I01
21-1015,4.A.2.a.1.I02
21-1015,4.A.4.a.5.I01
21-1015,4.A.2.b.2.I01
21-1015,4.A.4.a.2.I07
21-1015,4.A.1.a.2.I05
21-1015,4.A.4.a.1.I05
21-1018,4.A.1.a.1.I12
21-1018,4.A.4.a.5.I07
21-1018,4.A.2.a.1.I01
21-1018,4.A.4.b.3.I02
21-1018,4.A.3.b.6.I11
21-1018,4.A.2.b.2.I01
21-1018,4.A.1.a.1.I23
21-1018,4.A.4.a.2.I05
21-1018,4.A.3.b.6.I14
21-1018,4.A.4.a.5.I03
21-1018,4.A.3.b.6.I03
21-1018,4.A.1.b.2.I01
21-1018,4.A.2.a.1.I02
21-1018,4.A.4.b.3.I01
21-1018,4.A.4.a.5.I01
21-1018,4.A.4.a.2.I07
21-1018,4.A.4.a.3.I02
21-1018,4.A.4.a.5.I05
21-1018,4.A.4.b.4.I01
21-1018,4.A.4.a.6.I01
21-1018,4.A.1.a.1.I19
21-1018,4.A.2.b.2.I17
21-1018,4.A.4.a.4.I01
21-1018,4.A.2.b.2.I10
21-1018,4.A.2.b.3.I01
21-1018,4.A.4.b.3.I04
21-1018,4.A.4.b.6.I10
21-1018,4.A.1.a.2.I05
21-1018,4.A.4.a.1.I05
21-1021,4.A.1.a.1.I12
21-1021,4.A.4.b.4.I01
21-1021,4.A.1.a.1.I18
21-1021,4.A.1.a.1.I23
21-1021,4.A.4.b.6.I07
21-1021,4.A.4.a.2.I05
21-1021,4.A.4.b.6.I08
21-1021,4.A.2.a.1.I01
21-1021,4.A.3.b.6.I03
21-1021,4.A.4.a.6.I01
21-1021,4.A.3.b.6.I11
21-1021,4.A.4.b.6.I06
21-1021,4.A.2.a.1.I02
21-1021,4.A.4.a.5.I01
21-1021,4.A.4.a.2.I07
21-1021,4.A.4.b.6.I10
21-1021,4.A.4.a.1.I05
21-1022,4.A.1.a.1.I12
21-1022,4.A.4.b.4.I01
21-1022,4.A.1.a.1.I18
21-1022,4.A.4.a.2.I05
21-1022,4.A.1.a.1.I23
21-1022,4.A.4.b.6.I07
21-1022,4.A.3.b.6.I14
21-1022,4.A.2.a.1.I01
21-1022,4.A.1.a.1.I03
21-1022,4.A.3.b.6.I11
21-1022,4.A.1.a.2.I05
21-1022,4.A.2.b.2.I17
21-1022,4.A.4.a.5.I01
21-1022,4.A.2.b.2.I01
21-1022,4.A.4.b.6.I10
21-1022,4.A.4.a.1.I05
21-1023,4.A.1.a.1.I12
21-1023,4.A.4.b.4.I01
21-1023,4.A.1.a.1.I18
21-1023,4.A.1.a.1.I23
21-1023,4.A.4.a.2.I05
21-1023,4.A.4.b.6.I07
21-1023,4.A.4.b.3.I02
21-1023,4.A.3.b.6.I11
21-1023,4.A.1.a.2.I05
21-1023,4.A.2.b.2.I17
21-1023,4.A.4.a.5.I01
21-1023,4.A.2.b.2.I01
21-1023,4.A.2.b.3.I01
21-1023,4.A.4.b.6.I10
21-1023,4.A.4.a.5.I09
21-1091,4.A.4.b.3.I04
21-1091,4.A.4.b.4.I01
21-1091,4.A.4.b.6.I07
21-1091,4.A.2.a.1.I01
21-1091,4.A.3.b.6.I08
21-1091,4.A.1.a.1.I19
21-1091,4.A.2.b.2.I15
21-1091,4.A.4.c.3.I03
21-1091,4.A.2.b.2.I17
21-1091,4.A.4.a.4.I01
21-1091,4.A.2.a.1.I02
21-1091,4.A.2.b.2.I10
21-1091,4.A.4.a.3.I02
21-1092,4.A.4.a.1.I02
21-1092,4.A.1.a.1.I12
21-1092,4.A.4.b.6.I08
21-1092,4.A.1.a.1.I23
21-1092,4.A.2.a.1.I01
21-1092,4.A.3.b.6.I03
21-1092,4.A.1.a.1.I03
21-1092,4.A.1.b.2.I01
21-1092,4.A.3.b.6.I08
21-1092,4.A.4.a.5.I01
21-1092,4.A.4.c.3.I03
21-1092,4.A.1.a.2.I05
21-1092,4.A.2.b.2.I17
21-1092,4.A.4.a.4.I01
