SOC Code,IWA
11-9021,4.A.2.b.2.I20
11-9021,4.A.4.b.4.I09
11-9021,4.A.4.b.3.I04
11-9021,4.A.2.b.1.I09
11-9021,4.A.3.b.6.I01
11-9021,4.A.4.c.2.I01
11-9021,4.A.3.b.6.I13
11-9021,4.A.1.b.3.I02
11-9031,4.A.4.b.3.I02
11-9031,4.A.4.b.6.I05
11-9031,4.A.4.a.2.I11
11-9031,4.A.2.a.4.I07
11-9031,4.A.2.b.2.I05
11-9031,4.A.2.b.1.I03
11-9031,4.A.3.b.6.I14
11-9031,4.A.2.b.1.I08
11-9031,4.A.2.a.1.I02
11-9031,4.A.2.b.4.I01
11-9031,4.A.4.a.3.I02
11-9031,4.A.4.b.4.I01
11-9031,4.A.4.b.4.I12
11-9031,4.A.2.b.2.I12
11-9031,4.A.3.b.6.I08
11-9031,4.A.2.a.1.I04
11-9031,4.A.2.b.2.I15
11-9031,4.A.1.a.2.I11
11-9031,4.A.4.b.4.I09
11-9031,4.A.4.b.3.I04
11-9031,4.A.1.a.2.I06
11-9031,4.A.4.b.6.I07
11-9031,4.A.3.b.6.I01
11-9031,4.A.4.c.2.I01
11-9031,4.A.3.b.6.I07
11-9032,4.A.4.b.4.I02
11-9032,4.A.4.b.3.I02
11-9032,4.A.4.b.6.I05
11-9032,4.A.4.a.2.I11
11-9032,4.A.2.b.5.I01
11-9032,4.A.2.a.4.I07
11-9032,4.A.2.b.2.I05
11-9032,4.A.2.b.1.I03
11-9032,4.A.1.a.1.I14
11-9032,4.A.4.b.5.I02
11-9032,4.A.4.a.6.I03
11-9032,4.A.2.a.1.I02
11-9032,4.A.2.b.4.I01
11-9032,4.A.4.a.2.I07
11-9032,4.A.4.b.4.I01
11-9032,4.A.2.a.1.I03
11-9032,4.A.4.b.4.I12
11-9032,4.A.4.b.4.I11
11-9032,4.A.2.b.2.I12
11-9032,4.A.3.b.6.I08
11-9032,4.A.2.b.2.I15
11-9032,4.A.1.a.2.I11
11-9032,4.A.4.a.4.I01
11-9032,4.A.2.b.3.I01
11-9032,4.A.4.b.4.I09
11-9032,4.A.4.b.3.I04
11-9032,4.A.3.b.6.I15
11-9032,4.A.4.b.6.I07
11-9032,4.A.3.b.6.I01
11-9032,4.A.4.c.2.I02
11-9032,4.A.4.c.2.I01
11-9032,4.A.3.b.6.I13
11-9032,4.A.3.b.6.I07
11-9033,4.A.4.b.4.I07
11-9033,4.A.4.b.4.I02
11-9033,4.A.4.a.2.I03
11-9033,4.A.4.b.3.I02
11-9033,4.A.4.b.6.I05
11-9033,4.A.4.a.2.I11
11-9033,4.A.2.b.5.I01
11-9033,4.A.2.a.4.I07
11-9033,4.A.4.b.4.I13
11-9033,4.A.2.b.4.I01
11-9033,4.A.4.b.4.I01
11-9033,4.A.2.a.1.I03
11-9033,4.A.4.b.4.I12
11-9033,4.A.4.b.4.I11
11-9033,4.A.2.a.1.I04
11-9033,4.A.2.b.2.I15
11-9033,4.A.4.b.4.I09
11-9033,4.A.4.b.3.I04
11-9033,4.A.3.b.6.I15
11-9033,4.A.1.a.2.I06
11-9033,4.A.4.b.6.I07
11-9033,4.A.3.b.6.I01
11-9033,4.A.4.c.2.I01
11-9033,4.A.3.b.6.I13
11-9033,4.A.3.b.6.I07
11-9041,4.A.1.a.1.I10
11-9041,4.A.4.b.4.I07
11-9041,4.A.4.a.2.I03
11-9041,4.A.2.a.4.I02
11-9041,4.A.2.b.4.I03
11-9041,4.A.4.a.2.I11
11-9041,4.A.2.b.2.I27
11-9041,4.A.4.a.7.I02
11-9041,4.A.4.c.3.I05
11-9041,4.A.2.b.2.I07
11-9041,4.A.2.a.4.I07
11-9041,4.A.2.b.1.I03
11-9041,4.A.4.a.6.I03
11-9041,4.A.2.b.4.I01
11-9041,4.A.4.a.3.I02
11-9041,4.A.4.a.1.I02
11-9041,4.A.4.b.4.I01
11-9041,4.A.2.a.1.I10
11-9041,4.A.4.b.4.I12
11-9041,4.A.2.a.4.I09
11-9041,4.A.1.b.2.I02
11-9041,4.A.4.b.4.I10
11-9041,4.A.4.b.4.I09
11-9041,4.A.2.b.2.I20
11-9041,4.A.2.b.1.I09
11-9041,4.A.3.b.6.I01
11-9041,4.A.4.a.2.I01
11-9051,4.A.4.c.3.I04
11-9051,4.A.4.b.4.I07
11-9051,4.A.4.b.6.I05
11-9051,4.A.2.b.5.I01
11-9051,4.A.4.a.7.I02
11-9051,4.A.4.c.3.I05
11-9051,4.A.4.a.3.I03
11-9051,4.A.2.a.4.I07
11-9051,4.A.4.b.4.I13
11-9051,4.A.3.b.6.I14
11-9051,4.A.2.a.1.I05
11-9051,4.A.2.b.1.I08
11-9051,4.A.3.b.4.I02
11-9051,4.A.2.b.4.I01
11-9051,4.A.4.c.3.I01
11-9051,4.A.1.a.2.I02
11-9051,4.A.4.b.4.I12
11-9051,4.A.3.b.6.I08
11-9051,4.A.2.a.1.I04
11-9051,4.A.4.b.6.I06
11-9051,4.A.1.a.2.I11
11-9051,4.A.2.b.5.I02
11-9051,4.A.4.b.4.I09
11-9051,4.A.4.a.8.I03
11-9051,4.A.1.a.2.I06
11-9051,4.A.4.c.2.I01
11-9071,4.A.4.c.3.I04
11-9071,4.A.1.a.2.I03
11-9071,4.A.4.b.4.I15
11-9071,4.A.1.a.1.I23
11-9071,4.A.4.b.4.I13
11-9071,4.A.4.a.6.I03
11-9071,4.A.2.b.4.I01
11-9071,4.A.4.a.1.I02
11-9071,4.A.4.b.4.I12
11-9071,4.A.4.a.2.I10
11-9071,4.A.2.a.1.I04
11-9071,4.A.3.b.6.I08
11-9071,4.A.4.c.3.I07
11-9071,4.A.2.b.3.I01
11-9071,4.A.4.a.8.I03
11-9071,4.A.4.b.3.I04
11-9071,4.A.1.a.2.I06
11-9071,4.A.4.c.2.I01
11-9071,4.A.3.a.1.I11
11-9071,4.A.2.a.2.I03
11-9071,4.A.2.a.3.I03
11-9072,4.A.4.a.2.I03
